Año de siembra,Fecha de siembra,Superficie (m2),Altitud (msnm),Distancia entre filas (cm),Distancia en la fila (cm),Mecanización (cm),Fertilización,Riego,Clima,Costo de producción (USD),Producción (kg)
2024,2024-02-29,6000.0,679.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,59.52,14571.282368846274
2024,2024-01-25,9000.0,158.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,88.23,19726.480271399527
2024,2024-01-19,8000.0,680.0,100,50.0,50,Presiembra,Presiembra,Tropical,78.96,21581.047259046667
2024,2024-02-09,1000.0,623.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Seco,81.43,2934.951505864959
2024,2024-01-17,1000.0,552.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,69.08,2464.433070568908
2024,2024-02-18,4000.0,420.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,76.57,7241.507790677219
2024,2024-01-21,2000.0,,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,28.93,5438.683440259305
2023,2023-12-17,1000.0,533.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,147.92,2588.8218315378062
2024,2024-01-12,3000.0,689.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,21.4,8071.874218825899
2024,2024-03-03,9000.0,780.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,65.84,23051.176044754095
2023,2023-12-17,7000.0,397.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,98.34,12737.940552475999
2023,2023-12-31,7000.0,,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,51.75,12779.19201689671
2024,2024-02-16,4000.0,490.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,56.58,11934.312310706184
2024,2024-03-27,300.0,631.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Subtropical,110.26,
2024,2024-01-09,3000.0,504.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,77.58,6163.807573250002
2024,2024-01-14,3000.0,637.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,122.29,5590.294139265238
2023,2023-12-11,1000.0,,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,36.89,2283.9655364568184
2024,2024-01-25,4000.0,606.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,143.7,9137.782536167218
2023,2023-12-16,6000.0,487.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,137.28,14291.332376200518
2024,2024-03-29,1000.0,392.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Subtropical,29.66,2974.639335720504
2024,2024-03-19,5000.0,475.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,148.18,
2024,2024-03-28,,417.0,100,,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,33.14,19315.703778145573
2024,2024-01-10,2000.0,375.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,23.28,5899.436455948101
2024,2024-01-26,4000.0,547.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),,99.89,11196.689275846416
2024,2024-02-11,300.0,563.0,100,50.0,50,Presiembra,Presiembra,Tropical,138.22,682.8598600462713
2023,2023-12-29,300.0,479.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,141.18,790.3851846837482
2024,2024-02-12,300.0,668.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),,80.66,574.707556925292
2024,2024-01-24,9000.0,731.0,100,50.0,50,Presiembra,Presiembra,Seco,124.14,23276.608541453657
2024,2024-03-08,6000.0,707.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,34.12,14555.008370473251
2024,2024-03-23,,3500.0,100,50.0,50,Presiembra,Presiembra,Subtropical,24.54,7718.60762716002
2024,2024-02-06,9000.0,666.0,100,50.0,50,Presiembra,Presiembra,Tropical,113.47,17989.685461323188
2024,2024-03-16,3000.0,422.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,92.77,8374.695538146532
2024,2024-03-21,7000.0,516.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,84.1,15045.275676690744
2023,2023-12-27,4000.0,330.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,66.24,10600.925636151815
2024,2024-01-18,4000.0,684.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,33.37,9602.26773030206
2024,2024-01-22,9000.0,421.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,71.48,22723.012998661252
2024,2024-02-16,9000.0,474.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,102.87,26157.487694236042
2023,2023-12-26,4000.0,553.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,78.12,9001.260763218716
2024,2024-01-26,2000.0,571.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,107.98,5733.419258746893
2024,2024-02-01,6000.0,626.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,105.77,15411.588258229753
2024,2024-01-01,,634.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,136.46,5112.426416080754
2023,2023-12-07,,605.0,100,50.0,50,Presiembra,Semanal (primer mes),,16.47,2582.5337322598593
2024,2024-02-05,3000.0,707.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,70.29,8569.010287951454
2023,2023-12-23,7000.0,348.0,100,50.0,50,Presiembra,Quincenal (segundo mes),,109.61,13416.87074766692
2024,2024-03-25,10000.0,538.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,44.52,25073.690133838743
2024,2024-01-31,8000.0,,100,50.0,50,Presiembra,Quincenal (segundo mes),,120.63,15386.295057092482
2024,2024-01-29,1000.0,199.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,35.38,2582.9978284866975
2024,2024-02-21,3000.0,445.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,84.33,8857.874643489899
2023,2023-12-22,3000.0,431.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,136.86,8970.155838678522
2024,2024-02-27,2000.0,464.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Seco,16.3,5703.050976580471
2023,2023-12-09,2000.0,567.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,122.18,4931.618287624719
2024,2024-01-23,4000.0,343.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,136.17,9319.625633599757
2024,2024-01-20,8000.0,,100,50.0,50,Presiembra,Presiembra,Tropical,70.69,22251.91354681067
2024,2024-03-28,5000.0,691.0,100,50.0,50,Crecimiento inicial (20-30 días),Presiembra,Tropical,90.03,13188.096744573973
2024,2024-02-11,1000.0,-50.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,37.2,2891.727551193966
2024,2024-01-17,4000.0,603.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,33.72,7873.104692772295
2024,2024-02-06,10000.0,555.0,100,,50,Presiembra,Presiembra,Tropical,143.18,25120.85730065736
2024,2024-02-19,5000.0,643.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Subtropical,93.84,10417.302923193856
2024,2024-01-04,7000.0,274.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,109.83,16577.444311012914
2024,2024-03-15,5000.0,427.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,87.63,11942.682166779283
2024,2024-03-21,300.0,257.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Subtropical,80.59,645.670728139465
2024,2024-01-08,2000.0,698.0,100,50.0,50,Presiembra,Presiembra,Tropical,130.24,3853.489512644488
2024,2024-01-22,6000.0,682.0,100,50.0,50,Crecimiento inicial (20-30 días),Semanal (primer mes),Tropical,34.62,17649.076897706167
2024,2024-03-24,9000.0,,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,116.3,16396.027947454255
2024,2024-01-26,10000.0,360.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,103.38,23661.809558823436
2024,2024-01-17,5000.0,204.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,108.36,11376.339075837057
2024,2024-01-22,5000.0,627.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Seco,88.18,10612.262330203403
2024,2024-01-17,,491.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Tropical,145.97,20725.623584090794
2024,2024-02-04,7000.0,648.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,60.18,13792.111308632828
2023,2023-12-06,300.0,394.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,144.68,
2023,2023-12-09,,354.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Tropical,70.92,4833.304791170748
2024,2024-02-04,6000.0,488.0,100,50.0,50,Tuberización (40-50 días),Presiembra,Seco,130.45,13925.533757152214
2024,2024-03-17,7000.0,417.0,100,50.0,50,Presiembra,Quincenal (segundo mes),Tropical,103.3,18273.29703022557
2024,2024-02-24,7000.0,332.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Subtropical,115.5,16771.478076183274
2024,2024-03-02,300.0,578.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,33.82,586.6740899940452
2024,2024-03-30,8000.0,594.0,100,50.0,50,Presiembra,Presiembra,Tropical,36.18,21240.1501492979
2024,2024-01-23,6000.0,552.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Subtropical,16.88,11365.118052561013
2024,2024-03-08,9000.0,636.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,114.42,24886.164845238924
2024,2024-02-12,1000.0,472.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,129.98,2304.2224973691696
2024,2024-02-20,1000.0,716.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,104.79,
2023,2023-12-03,4000.0,529.0,100,50.0,50,Presiembra,Presiembra,Tropical,82.91,9264.87320109505
2024,2024-03-28,,642.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),,87.89,8825.540912488319
2024,2024-02-09,10000.0,-50.0,100,50.0,50,Presiembra,Presiembra,,73.24,19437.817676817194
2024,2024-01-06,5000.0,383.0,100,50.0,50,Presiembra,Presiembra,Tropical,47.68,13726.648084231241
2024,2024-02-11,3000.0,342.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,56.08,8439.691262024113
2024,2024-03-10,3000.0,375.0,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Seco,113.64,8027.1311331832085
2024,2024-03-07,7000.0,658.0,100,50.0,50,Tuberización (40-50 días),Finalización (75-80 dds),Tropical,83.16,17783.30224694098
2024,2024-01-07,,584.0,100,50.0,50,Presiembra,Finalización (75-80 dds),,15.78,713.0220386731718
2024,2024-03-29,9000.0,620.0,100,50.0,50,Crecimiento inicial (20-30 días),Finalización (75-80 dds),Tropical,121.32,20152.521956338027
2023,2023-12-18,2000.0,395.0,100,50.0,50,Presiembra,Finalización (75-80 dds),Tropical,18.77,4711.739039170221
2023,2023-12-28,4000.0,468.0,100,50.0,50,Presiembra,Semanal (primer mes),Tropical,141.64,8477.606014516632
2024,2024-01-27,2000.0,416.0,100,50.0,50,Presiembra,Presiembra,Tropical,81.24,4217.754558844645
2023,2023-12-25,4000.0,627.0,100,50.0,50,Tuberización (40-50 días),Semanal (primer mes),Seco,94.13,8400.957449073436
2024,2024-03-13,1000.0,,100,50.0,50,Tuberización (40-50 días),Quincenal (segundo mes),Tropical,127.05,2879.2086427177887
2024,2024-01-19,,475.0,100,,50,Presiembra,Finalización (75-80 dds),,118.23,895.9065349199665
2024,2024-02-09,300.0,552.0,100,50.0,50,Crecimiento inicial (20-30 días),Quincenal (segundo mes),Tropical,100.81,889.9711644555896
